,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-01-04,5.00000e-01,5.00000e-01,6.66667e-01,3.33333e-01,3.33333e-01,6.66667e-01,5.00000e-01,6.66667e-01,6.66667e-01,6.66667e-01,6.66667e-01,6.66667e-01,5.00000e-01,6.66667e-01,5.00000e-01,6.66667e-01
2007-01-05,5.71429e-01,5.71429e-01,7.14286e-01,2.85714e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01,5.71429e-01,5.71429e-01,7.14286e-01,5.71429e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01
2007-01-08,6.25000e-01,5.00000e-01,6.25000e-01,2.50000e-01,3.75000e-01,5.00000e-01,3.75000e-01,5.00000e-01,5.00000e-01,5.00000e-01,6.25000e-01,5.00000e-01,3.75000e-01,5.00000e-01,3.75000e-01,5.00000e-01
2007-01-09,5.55556e-01,5.55556e-01,5.55556e-01,2.22222e-01,3.33333e-01,4.44444e-01,4.44444e-01,4.44444e-01,4.44444e-01,5.55556e-01,6.66667e-01,5.55556e-01,3.33333e-01,4.44444e-01,4.44444e-01,5.55556e-01
2007-01-10,5.71429e-01,5.71429e-01,7.14286e-01,2.85714e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01,5.71429e-01,5.71429e-01,7.14286e-01,5.71429e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01
2007-01-11,5.00000e-01,5.00000e-01,6.66667e-01,3.33333e-01,3.33333e-01,6.66667e-01,5.00000e-01,6.66667e-01,6.66667e-01,6.66667e-01,6.66667e-01,6.66667e-01,5.00000e-01,6.66667e-01,5.00000e-01,6.66667e-01
2007-01-12,5.71429e-01,5.71429e-01,7.14286e-01,2.85714e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01,5.71429e-01,5.71429e-01,7.14286e-01,5.71429e-01,4.28571e-01,5.71429e-01,4.28571e-01,5.71429e-01
2007-01-16,6.25000e-01,5.00000e-01,6.25000e-01,2.50000e-01,3.75000e-01,5.00000e-01,3.75000e-01,5.00000e-01,5.00000e-01,5.00000e-01,6.25000e-01,5.00000e-01,3.75000e-01,5.00000e-01,3.75000e-01,5.00000e-01
2007-01-17,5.55556e-01,5.55556e-01,5.55556e-01,2.22222e-01,3.33333e-01,4.44444e-01,4.44444e-01,4.44444e-01,4.44444e-01,5.55556e-01,6.66667e-01,5.55556e-01,3.33333e-01,4.44444e-01,4.44444e-01,5.55556e-01
2007-01-18,6.00000e-01,5.00000e-01,5.00000e-01,2.00000e-01,4.00000e-01,5.00000e-01,4.00000e-01,5.00000e-01,4.00000e-01,6.00000e-01,6.00000e-01,6.00000e-01,3.00000e-01,5.00000e-01,4.00000e-01,6.00000e-01
2007-01-19,5.45455e-01,5.45455e-01,4.54545e-01,2.72727e-01,4.54545e-01,5.45455e-01,4.54545e-01,5.45455e-01,4.54545e-01,6.36364e-01,6.36364e-01,6.36364e-01,3.63636e-01,5.45455e-01,4.54545e-01,6.36364e-01
2007-01-22,5.83333e-01,5.00000e-01,4.16667e-01,2.50000e-01,4.16667e-01,5.00000e-01,4.16667e-01,5.00000e-01,4.16667e-01,5.83333e-01,5.83333e-01,5.83333e-01,3.33333e-01,5.00000e-01,4.16667e-01,5.83333e-01
2007-01-23,5.38462e-01,4.61538e-01,4.61538e-01,3.07692e-01,4.61538e-01,5.38462e-01,4.61538e-01,5.38462e-01,3.84615e-01,6.15385e-01,6.15385e-01,6.15385e-01,3.07692e-01,5.38462e-01,3.84615e-01,6.15385e-01
2007-01-24,5.71429e-01,4.28571e-01,4.28571e-01,2.85714e-01,4.28571e-01,5.00000e-01,4.28571e-01,5.00000e-01,3.57143e-01,5.71429e-01,5.71429e-01,5.71429e-01,2.85714e-01,5.00000e-01,3.57143e-01,5.71429e-01
2007-01-25,6.00000e-01,4.66667e-01,4.00000e-01,2.66667e-01,4.00000e-01,4.66667e-01,4.00000e-01,4.66667e-01,4.00000e-01,5.33333e-01,5.33333e-01,5.33333e-01,2.66667e-01,4.66667e-01,3.33333e-01,5.33333e-01
2007-01-26,6.25000e-01,5.00000e-01,4.37500e-01,3.12500e-01,4.37500e-01,5.00000e-01,4.37500e-01,5.00000e-01,4.37500e-01,5.62500e-01,5.62500e-01,5.62500e-01,3.12500e-01,5.00000e-01,3.75000e-01,5.62500e-01
2007-01-29,6.47059e-01,4.70588e-01,4.11765e-01,3.52941e-01,4.11765e-01,4.70588e-01,4.11765e-01,4.70588e-01,4.11765e-01,5.29412e-01,5.88235e-01,5.88235e-01,2.94118e-01,4.70588e-01,3.52941e-01,5.29412e-01
2007-01-30,6.66667e-01,5.00000e-01,3.88889e-01,3.33333e-01,3.88889e-01,5.00000e-01,3.88889e-01,4.44444e-01,3.88889e-01,5.55556e-01,6.11111e-01,6.11111e-01,3.33333e-01,5.00000e-01,3.88889e-01,5.00000e-01
2007-01-31,6.31579e-01,4.73684e-01,3.68421e-01,3.15789e-01,3.68421e-01,4.73684e-01,3.68421e-01,4.21053e-01,3.68421e-01,5.26316e-01,5.78947e-01,5.78947e-01,3.15789e-01,4.73684e-01,3.68421e-01,4.73684e-01
2007-02-01,6.00000e-01,4.50000e-01,3.50000e-01,3.00000e-01,4.00000e-01,4.50000e-01,3.50000e-01,4.00000e-01,4.00000e-01,5.00000e-01,6.00000e-01,5.50000e-01,3.00000e-01,5.00000e-01,3.50000e-01,4.50000e-01
2007-02-02,6.19048e-01,4.76190e-01,3.33333e-01,2.85714e-01,3.80952e-01,4.28571e-01,3.33333e-01,3.80952e-01,3.80952e-01,5.23810e-01,5.71429e-01,5.23810e-01,2.85714e-01,4.76190e-01,3.33333e-01,4.28571e-01
2007-02-05,5.90909e-01,4.54545e-01,3.18182e-01,3.18182e-01,4.09091e-01,4.54545e-01,3.63636e-01,4.09091e-01,4.09091e-01,5.00000e-01,5.45455e-01,5.00000e-01,2.72727e-01,4.54545e-01,3.18182e-01,4.54545e-01
2007-02-06,5.65217e-01,4.78261e-01,3.04348e-01,3.04348e-01,4.34783e-01,4.34783e-01,3.91304e-01,4.34783e-01,3.91304e-01,5.21739e-01,5.65217e-01,5.21739e-01,2.60870e-01,4.34783e-01,3.04348e-01,4.78261e-01
2007-02-07,5.41667e-01,5.00000e-01,2.91667e-01,3.33333e-01,4.16667e-01,4.16667e-01,3.75000e-01,4.16667e-01,3.75000e-01,5.00000e-01,5.41667e-01,5.00000e-01,2.50000e-01,4.16667e-01,2.91667e-01,4.58333e-01
2007-02-08,5.20000e-01,5.20000e-01,2.80000e-01,3.20000e-01,4.40000e-01,4.40000e-01,3.60000e-01,4.00000e-01,4.00000e-01,4.80000e-01,5.60000e-01,4.80000e-01,2.40000e-01,4.40000e-01,3.20000e-01,4.40000e-01
2007-02-09,5.00000e-01,5.00000e-01,3.07692e-01,3.46154e-01,4.61538e-01,4.61538e-01,3.84615e-01,3.84615e-01,3.84615e-01,5.00000e-01,5.76923e-01,5.00000e-01,2.30769e-01,4.61538e-01,3.07692e-01,4.23077e-01
2007-02-12,5.18519e-01,4.81481e-01,3.33333e-01,3.70370e-01,4.44444e-01,4.81481e-01,4.07407e-01,4.07407e-01,4.07407e-01,5.18519e-01,5.92593e-01,5.18519e-01,2.59259e-01,4.81481e-01,3.33333e-01,4.44444e-01
