,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-01-02,99.910,23.800,65.660,124.470,55.280,38.340,73.510,27.150,16.160,33.420,14.730,47.100,51.700,48.730,46.700,51.950
2007-01-03,99.910,23.800,65.660,124.470,55.280,38.340,73.510,27.150,16.160,33.420,14.730,47.100,51.700,48.730,46.700,51.950
2007-01-04,100.120,23.180,65.600,124.680,55.950,37.810,73.320,27.060,15.990,33.340,14.780,47.000,51.250,48.190,46.100,51.750
2007-01-05,100.050,23.200,65.020,123.740,54.780,36.710,72.200,26.610,15.870,32.910,14.410,46.100,50.050,47.030,44.470,51.120
2007-01-08,100.110,23.220,65.260,124.140,54.860,36.970,72.300,26.530,16.270,32.950,14.360,46.300,50.380,47.120,45.100,51.200
2007-01-09,100.110,23.020,65.250,124.070,55.250,36.150,72.370,26.650,16.230,32.930,14.210,46.000,49.000,46.600,43.950,51.100
2007-01-10,100.000,22.680,64.890,124.430,54.260,36.060,71.820,26.360,16.080,32.580,14.180,45.880,49.500,46.450,44.270,50.680
2007-01-11,99.810,22.650,64.870,124.990,54.170,36.520,72.280,26.600,16.120,32.790,14.150,46.500,50.100,46.810,44.670,51.010
2007-01-12,99.670,23.180,65.560,125.660,54.830,37.260,73.100,26.880,16.280,33.160,14.460,46.940,50.350,47.860,45.500,51.540
2007-01-16,99.820,22.650,65.760,125.700,54.870,37.400,73.010,27.030,16.480,33.140,14.420,46.940,50.600,48.010,44.950,51.380
2007-01-17,99.740,22.850,65.940,125.750,54.760,37.240,73.050,26.880,16.590,32.940,14.510,46.940,50.700,47.620,44.980,51.250
2007-01-18,99.880,22.610,66.000,125.510,54.730,36.850,72.800,26.730,16.550,32.870,14.420,46.840,49.860,47.350,44.690,51.090
2007-01-19,99.840,22.950,66.490,125.550,55.270,37.510,73.690,27.100,16.840,33.320,14.480,47.360,50.500,47.470,45.770,51.780
2007-01-22,99.890,22.970,66.450,124.750,54.950,37.470,73.320,26.790,16.940,33.200,14.320,47.120,50.540,47.000,45.930,51.340
