Date,AGG,DBC,DFE,DIA,DXJ,EEM,EFA,EWG,EWH,EWI,EWT,EWU,EWW,EWY,EWZ,EZU
2007-01-03,471000,746700,30000,11226200,14400,38089800,12071400,585300,6217000,76900,8805400,290300,2470600,2045700,5832100,254400
2007-01-04,1745300,428900,22200,10032600,8200,25987701,8637400,271300,4335600,36300,4194900,746900,1886800,1755100,4472400,639800
2007-01-05,315900,356700,16100,9078300,109300,32607201,8736200,913700,4074800,110900,3824700,385800,2690100,747100,7842200,499800
2007-01-08,280000,275000,11100,7840600,6900,22814400,6511900,578900,3115600,112800,2301700,323800,1514900,851300,6737700,265400
2007-01-09,361300,675600,10200,7330200,25100,42375699,8502600,390800,3611800,49100,2619500,239000,4338900,975600,6795800,293000
2007-01-10,697900,285900,13800,8792700,4700,57795201,5259400,776700,2571700,62200,4041900,287800,4546900,1425600,8586500,246600
2007-01-11,441900,484600,30000,6795900,3900,46899999,4452400,879600,2481700,88300,5539300,429800,2896100,1774000,7975900,605200
2007-01-12,242400,324300,15000,6209400,15600,25133301,6086500,427100,3310800,44100,2035000,273300,3119800,533000,4881600,302600
2007-01-16,448700,467700,39900,6928200,13900,25737801,6451200,358200,3148400,39700,2882500,430900,2042600,804800,3868400,422000
2007-01-17,258700,291200,41900,8541000,4400,18352599,3757800,436800,3621800,173200,3259500,210500,1866500,809500,3514900,365000
2007-01-18,290600,408700,55300,9887200,4600,31183800,7922500,581900,3577200,131100,6053700,428600,3642600,886400,5170300,451800
2007-01-19,309200,225900,63100,10465500,10300,18042900,7581400,421800,2968400,65100,3471900,209900,3024300,769100,4257900,315200
2007-01-22,263600,303300,77500,10086800,32100,20881401,6170700,301700,2882700,41200,3028100,214100,2367100,1520600,4417400,190000
2007-01-23,333700,483600,42300,6534100,9600,27951099,5400300,233600,3055600,211900,4443500,397400,3202400,1049800,6315700,217000
2007-01-24,322200,278600,110400,9064200,20900,19785300,7734000,437200,2585700,66300,3589100,405400,2987900,1541400,5249200,371400
2007-01-25,296700,366100,50600,8405100,20800,28725201,5002200,382400,4159200,121500,5099400,1243600,6013500,917200,7528600,633800
2007-01-26,296700,313600,45300,9617300,9700,29451699,6065500,350100,2795200,159500,4031600,365500,3475800,880800,5469800,564000
2007-01-29,388400,367400,83900,6001000,7700,28192800,5770000,249800,2091100,33900,3261300,170900,3924000,1037400,4919100,134000
2007-01-30,292500,346800,81900,7473200,31700,20174199,4119400,554900,2716600,23900,2037100,656000,2155000,801600,3532400,277200
2007-01-31,386200,298300,55000,9622000,2400,30865200,5356100,727500,6283700,84800,5964900,940200,3968600,1040500,5996200,604800
2007-02-01,821000,410000,51300,8594900,5700,33387099,7243400,506900,2647900,41500,2396700,315100,3298700,1355800,5847700,160800
2007-02-02,445100,211400,118100,5568000,8400,20515299,6999900,1451400,9448000,192800,3389700,544500,2345700,1331200,5763700,103600
2007-02-05,213300,271300,158800,4573000,9400,15404199,3318000,385800,3045700,127300,4539800,197300,1126400,1494500,4584100,316600
2007-02-06,236400,473500,36700,5366300,1600,17185599,4488000,421700,3285200,2479400,8230300,3045800,1657600,1144000,5275900,149000
2007-02-07,289800,179500,113600,5837100,6300,16233000,5116800,914500,2475800,833500,7963500,1344800,2586500,732100,6488500,343600
2007-02-08,353800,178200,33000,6230100,7900,18736599,3841300,273300,2568300,335200,3711900,506200,2926000,1018700,5708000,168000
2007-02-09,419600,162500,64900,6528200,18800,28851399,4635700,508900,1727000,127100,6448300,268200,3047300,1097100,5568600,200800
2007-02-12,304700,209100,49900,7915300,22100,26966700,5574600,380700,1022900,118100,3549900,251800,2818700,1585700,5055800,147400
2007-02-13,227400,205800,66300,5923100,7800,29740500,4568100,159900,3261000,143700,9435600,285900,2683200,1977100,4851200,105200
2007-02-14,269400,383800,85400,7309000,21100,35832099,5537400,340400,1980100,90700,5485600,338600,3681700,2182200,7625800,237200
2007-02-15,438500,191200,47800,5864800,6900,14160099,4189800,220900,1590500,30900,6085600,273500,2346400,481700,3778100,105200
2007-02-16,309400,155700,37100,5653200,14200,14712000,4884500,290400,1597900,28900,6004000,214000,1495900,1385300,2223000,109800
2007-02-20,252400,201100,85700,5423000,44000,15336900,7948700,929400,1956200,452200,3459000,523800,1796700,900400,3113600,236000
2007-02-21,223200,332500,96600,4901200,5600,14267301,6747100,583400,1520200,30300,3618500,119400,2264900,781500,5270100,82400
2007-02-22,188000,260500,133000,7094400,13600,23239599,4327000,371100,1932500,201200,4427000,138700,4047900,1033800,7572600,237800
2007-02-23,360200,527700,106000,5825800,21500,27031200,3725200,357800,2409400,101200,5787400,104100,4127400,643100,6167800,93000
2007-02-26,222600,555400,66700,7002000,12500,14555901,4532700,371200,1227800,41100,5782200,141000,3846800,569500,4353900,182000
